英文,中文
thin,薄的，细的，瘦的，淡薄的，稀疏
my,我的
brain,脑，脑髓，脑袋，智慧
quite,相当，颇，实际上，真正的，完全，十分
realize,认识到，了解，实现
blank,空白的，空着的，茫然的，无表情的，空白
match,比赛，竞争，对手，敌手，匹配，和…相配
side,面，侧面，旁边，方面，一方，一边，山坡，岸
opera,歌剧
bit,一点儿，少许，一片，一块
host,主人，东道主，节目支持人，许多，大量
recipe,烹饪法，食谱，方法，秘诀，诀窍
handsome,漂亮的，英俊的，好看的，慷慨的，可观的
quarter,四分之一，季，季度，住处，住所，供…宿舍，将…四等分
choice,选择，选择权，供选择的东西
round,圆形的，球形的，在周围，在附近，朝反方向，围绕，绕过
flight,航班，班机，飞行，飞翔
lake,湖
ability,能力，本领，才能，才智
tense,紧张的，拉紧的，绷紧的
unit,单位，部件，元件，装置，单元
their,她他它们的
best,最好的，最好，最
modern,现代的，新式的
kite,风筝
tomato,西红柿
much,十分，非常，许多，大量
wave,波，波浪，挥动，挥手致意，飘动，高涨
hat,帽子
january,一月
cheap,便宜的，廉价的，劣质的，低劣的，卑鄙的，低级的
paper,纸，报纸，墙纸，文件，文章，论文，试卷
scientific,科学的，科学上的
fat,肥胖的，多脂肪的，肥肉
experiment,实验，进行实验
encourage,激励，鼓励，促进
touch,触摸，碰到，涉及，接触，修饰，风格
spring,春天 （动词：突然行动，涌现）
plenty,丰富，充足，大量
concert,音乐会，演奏会
russia,俄国，俄罗斯
unfriendly,不友好的，冷漠的
happy,快乐的，愉快的，幸福的，令人满意的
